"A_merged_zone","inside_cordon","zone_139","zone_140","zone_143","zone_145","zone_155","zone_160","zone_164","zone_233","zone_237","zone_244","zone_245","zone_319","zone_327","zone_333"
"inside_cordon",0,14650.531,6050.35254,1369.29309,2169.99843,2273.09937,28966.11719,6975.46607,1910.20477,4490.96094,1428.25366,262.48364,4634.78271,4680.35889,12296.48089
"zone_139",3372.20209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_140",9683.12647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_143",1119.94836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_145",3000.40405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_155",5677.4917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_156",19092.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_160",19582.0918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_164",7164.83984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_233",2914.61267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_237",5918.6958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_239",14273.53223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_244",5134.69971,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_245",966.41986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_327",4364.07715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"zone_333",1006.76569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
